mac_address,model_name,model_alias,model_type,device_type,vendor,rack,location_scope,location_site,placement_type,team_name,usage_purpose,owner_name,utilization_week_7,utilization_week_8,automation_filter,infra_tickets,device_repurpose
38:A6:CE:FF:FE:0D,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,STB,SKY,207.02,Onsite,Downingtown,Rack,LRQA,,Suriya,44.68,10.76,,,
38:A6:CE:FF:FA:2C,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,STB,SKY,207.02,Onsite,Downingtown,Rack,LRQA,,Suriya,55.84,10.76,,,
F0:46:3B:5B:E0:B2,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0,STB,Sercomm,CIEC-MOD7-R4R13,Offshore,Chennai,Rack,LRQA,,Suriya,25.5,1.07,,,
F0:46:3B:5C:02:9C,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0,STB,Sercomm,CIEC-MOD7-R4R13,Offshore,Chennai,Rack,LRQA,,Suriya,35.21,1.07,,,
F0:46:3B:5B:FA:68,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0,STB,Sercomm,CIEC-MOD7-R4R13,Offshore,Chennai,Rack,LRQA,,Suriya,37.29,1.07,,,
F0:46:3B:5B:FA:F2,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0,STB,Sercomm,CIEC-MOD7-R4R13,Offshore,Chennai,Rack,LRQA,,Suriya,37.29,1.62,,,
F0:46:3B:5C:02:90,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0,STB,Sercomm,CIEC-MOD7-R4R13,Offshore,Chennai,Rack,LRQA,,Suriya,37.29,1.07,,,
F0:46:3B:5C:02:1E,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0,STB,Sercomm,CIEC-MOD7-R4R13,Offshore,Chennai,Rack,LRQA,,Suriya,22.62,1.61,,,
F0:46:3B:5B:E0:37,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0_XFINITY,STB,Sercomm,CIEC-MOD7-R4R13,Offshore,Chennai,Rack,LRQA,,Suriya,39.23,0.51,,,
F0:46:3B:5B:E0:82,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0_XFINITY,STB,Sercomm,CIEC-MOD7-R4R13,Offshore,Chennai,Rack,LRQA,,Suriya,43.08,2.68,,,
F0:46:3B:5C:00:71,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0_XFINITY,STB,Sercomm,CIEC-MOD7-R4R13,Offshore,Chennai,Rack,LRQA,,Suriya,40.12,0.42,,,
F0:46:3B:5B:DF:08,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0_XFINITY,STB,Sercomm,CIEC-MOD7-R4R12,Offshore,Chennai,Rack,LRQA,,Suriya,40.02,12.47,,,
F0:46:3B:5C:02:30,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0_XFINITY,STB,Sercomm,CIEC-MOD7-R4R12,Offshore,Chennai,Rack,LRQA,,Suriya,40.01,0.42,,,
F0:46:3B:5B:FE:16,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0_XFINITY,STB,Sercomm,CIEC-MOD7-R4R12,Offshore,Chennai,Rack,LRQA,,Suriya,59.71,17.72,,,
F0:46:3B:FA:DB:17,COESST11AEI,Sercomm-Realtek-ES1,SERCOMM_REALTEK_ES1,STB,Sercomm,1717-CL43-RBR3,Onsite,Philadelphia,Rack,LRQA,,Suriya,1.97,1.04,,,
F0:46:3B:FA:DB:D7,COESST11AEI,Sercomm-Realtek-ES1,SERCOMM_REALTEK_ES1,STB,Sercomm,1717-CL43-RBR3,Onsite,Philadelphia,Rack,LRQA,,Suriya,1.77,0.0,,,
F0:46:3B:FA:D5:8F,COESST11AEI,Sercomm-Realtek-ES1,SERCOMM_REALTEK_ES1,STB,Sercomm,1717-CL43-RAR2,Onsite,Philadelphia,Rack,LRQA,,Suriya,2.53,1.04,,,
F0:46:3B:FA:D4:B4,COESST11AEI,Sercomm-Realtek-ES1,SERCOMM_REALTEK_ES1,STB,Sercomm,1717-CL43-RAR2,Onsite,Philadelphia,Rack,LRQA,,Suriya,1.54,0.02,,,
F0:46:3B:FA:D3:AC,COESST11AEI,Sercomm-Realtek-ES1,SERCOMM_REALTEK_ES1,STB,Sercomm,1717-CL43-RAR2,Onsite,Philadelphia,Rack,LRQA,,Suriya,2.06,1.04,,,
F0:46:3B:FA:DC:0A,COESST11AEI,Sercomm-Realtek-ES1,SERCOMM_REALTEK_ES1,STB,Sercomm,1717-CL43-RBR3,Onsite,Philadelphia,Rack,LRQA,,Suriya,24.14,1.04,,,
38:A6:CE:FF:FD:2C,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,STB,SKY,CIEC-MOD7-R5R10,Offshore,Chennai,Rack,LRQA,,Sumathi,4.39,3.61,,,move to CI
